Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Cardio,Backward Jump,Easy,None,Moderate,Cardio,Legs,20 seconds,10 seconds,Plyometric,40,Bodyweight,Low
Leg,Backward Jump,Easy,None,Moderate,Legs,None,20 seconds,10 seconds,Plyometric,40,Bodyweight,Low
Cardio,Jumping jack,Easy,None,Moderate,Cardio,Legs,30 seconds,15 seconds,Plyometric,50,Bodyweight,Low
Leg,Jumping jack,Easy,None,Moderate,Legs,None,30 seconds,15 seconds,Plyometric,50,Bodyweight,Low
Cardio,Single Leg Broad Jump,Medium,None,High,Cardio,Legs,20 seconds,15 seconds,Plyometric,60,Bodyweight,Medium
Leg,Single Leg Broad Jump,Medium,None,High,Legs,None,20 seconds,15 seconds,Plyometric,60,Bodyweight,Medium
Abs,Incline Leg Hip Raise,Medium,None,Moderate,Abs,Hip Flexors,30 seconds,15 seconds,Core,50,Bodyweight,Low
Abs,Bodyweight Windmill,Easy,None,Low,Abs,Obliques,30 seconds,15 seconds,Core,35,Bodyweight,Low
Leg,Bodyweight Windmill,Easy,None,Low,Legs,Obliques,30 seconds,15 seconds,Core,35,Bodyweight,Low
Abs,Front to Side Plank,Medium,None,Moderate,Abs,Obliques,30 seconds,15 seconds,Core,50,Bodyweight,Low
Abs,Tuck Crunch,Easy,None,Low,Abs,None,30 seconds,15 seconds,Core,35,Bodyweight,Low
Abs,Dumbbell Side Bend,Medium,Dumbbell,Moderate,Abs,Obliques,30 seconds,15 seconds,Core,50,Progressive Overload,Low
Abs,Double Leg Stretch,Easy,None,Low,Abs,None,30 seconds,15 seconds,Core,35,Bodyweight,Low
Abs,Spider Plank,Medium,None,Moderate,Abs,Obliques,30 seconds,15 seconds,Core,50,Bodyweight,Low
Cardio,Spider Plank,Medium,None,Moderate,Cardio,Obliques,30 seconds,15 seconds,Core,50,Bodyweight,Low
Abs,Captains Chair Leg Raise,Medium,Captains Chair,Moderate,Abs,None,30 seconds,15 seconds,Core,50,Progressive Overload,Low
Calisthenic,Captains Chair Leg Raise,Medium,Captains Chair,Moderate,Calisthenic,None,30 seconds,15 seconds,Core,50,Progressive Overload,Low
Abs,Bench Side Bend,Medium,Bench,Moderate,Abs,Obliques,30 seconds,15 seconds,Core,50,Progressive Overload,Low
Abs,Crab Twist Toe Touch,Easy,None,Low,Abs,Obliques,30 seconds,15 seconds,Core,35,Bodyweight,Low
Abs,Quarter Sit-up,Easy,None,Low,Abs,None,30 seconds,15 seconds,Core,35,Bodyweight,Low
Abs,Weighted Sit-ups,Medium,Weight Plate,Moderate,Abs,None,30 seconds,15 seconds,Core,50,Progressive Overload,Low
Abs,Lying Knee Raise,Easy,None,Low,Abs,None,30 seconds,15 seconds,Core,35,Bodyweight,Low
Abs,Floor Crunch,Easy,None,Low,Abs,None,30 seconds,15 seconds,Core,35,Bodyweight,Low
Shoulders,Ez Bar Upright Row,Medium,Ez Bar,Moderate,Shoulders,Trapezius,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Trapezius,Ez Bar Upright Row,Medium,Ez Bar,Moderate,Trapezius,Shoulders,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Chest,Inner Chest Press Machine,Medium,Machine,Moderate,Chest,None,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Chest,Decline Dumbbell Fly,Medium,Dumbbell,Moderate,Chest,None,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Chest,Incline Dumbbell Hammer Press,Medium,Dumbbell,Moderate,Chest,None,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Cardio,Run in Place,Easy,None,Moderate,Cardio,Legs,30 seconds,15 seconds,Cardio,40,Bodyweight,Low
Cardio,Jump Squats,Medium,None,High,Cardio,Legs,20 seconds,15 seconds,Plyometric,60,Bodyweight,Medium
Hip,Jump Squats,Medium,None,High,Hip,Legs,20 seconds,15 seconds,Plyometric,60,Bodyweight,Medium
Leg,Jump Squats,Medium,None,High,Legs,Hip,20 seconds,15 seconds,Plyometric,60,Bodyweight,Medium
Triceps,Kneeling Cable Triceps Extension,Medium,Cable Machine,Moderate,Triceps,None,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Triceps,Cable Rear Drive,Medium,Cable Machine,Moderate,Triceps,None,30 seconds,15 seconds,Strength,50,Progressive Overload,Low
Cardio,Short Stride Run,Easy,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,100,None,Low
Erector Spinae,Hyperextension,Medium,Hyperextension Bench,Moderate,Lower Back,Glutes,15 minutes,3 minutes,Strength,150,Add weights,Medium
Abs,Reverse Plank,Easy,None,Low,Core,None,5 minutes,1 minute,Isometric,50,Increase duration,Low
Hip,Reverse Plank,Easy,,Low,Core,,5 minutes,1 minute,Isometric,50,Increase duration,Low
Shoulders,Dumbbell Lying One-Arm Rear Lateral Raise,Medium,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,80,Increase weight,Low
Shoulders,Lateral Raise Machine,Easy,Lateral Raise Machine,Low,Shoulders,None,10 minutes,2 minutes,Strength,70,Increase resistance,Low
Shoulders,Scott Press,Hard,Dumbbell,High,Shoulders,Triceps,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Shoulders,Band Pull-Apart,Easy,Resistance Band,Low,Shoulders,Upper Back,8 minutes,1 minute,Strength,60,Increase band tension,Low
Trapezius,Band Pull-Apart,Easy,Resistance Band,Low,Shoulders,Upper Back,8 minutes,1 minute,Strength,60,Increase band tension,Low
Shoulders,Bent Over Reverse Cable Fly,Medium,Cable Machine,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Trapezius,Bent Over Reverse Cable Fly,Medium,Cable Machine,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Shoulders,Bent-Over Barbell Reverse Raise,Hard,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Trapezius,Bent-Over Barbell Reverse Raise,Hard,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Shoulders,Weighted Round Arm,Medium,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Shoulders,Weight Plate Front Raise,Medium,Weight Plate,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Chest,Dumbbell Upward Fly,Medium,Dumbbell,Moderate,Chest,Shoulders,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Shoulders,Two Arm Cable Lateral Raise,Medium,Cable Machine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Full Body,Landmine Squat to Press,Hard,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Hip,Landmine Squat to Press,Hard,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Leg,Landmine Squat to Press,Hard,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Shoulders,Landmine Squat to Press,Hard,Landmine,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,Moderate
Shoulders,Cable Shoulder Press,Medium,Cable Machine,Moderate,Shoulders,Triceps,12 minutes,3 minutes,Strength,110,Increase resistance,Moderate
Shoulders,Barbell Rear Delt Raise,Hard,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Trapezius,Barbell Rear Delt Raise,Hard,Barbell,High,Shoulders,Rear Deltoid,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Shoulders,Double Cable Front Raise,Medium,Cable Machine,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Hip,Standing Hip Extension,Easy,None,Low,Hips,Glutes,8 minutes,1 minute,Strength,60,Increase duration,Low
Shoulders,Standing Smith Machine Shoulder Press,Medium,Smith Machine,Moderate,Shoulders,Triceps,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Shoulders,Dumbbell W Press,Medium,Dumbbell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Dumbbell One Arm Shoulder Press,Medium,Dumbbell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Dumbbell Scaption,Medium,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Full Body,Barbell Clean and Press,Hard,Barbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Barbell Clean and Press,Hard,Barbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Barbell Clean and Press,Hard,Barbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Dumbbell Cuban Press,Medium,Dumbbell,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Dumbbell Cuban External Rotation,Medium,Dumbbell,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,85,Increase weight,Low
Shoulders,Standing Alternating Dumbbell Shoulder Press,,,,,,,,,,,
Chest,Narrow Grip Wall Push-Up,,,,,,,,,,,
Triceps,Narrow Grip Wall Push-Up,,,,,,,,,,,
Shoulders,Cable External Shoulder Rotation,,,,,,,,,,,
Shoulders,Cable Internal Shoulder Rotation,,,,,,,,,,,
Back / Wing,Across Chest Shoulder Stretch,Easy,None,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Across Chest Shoulder Stretch,Easy,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Back / Wing,Standing Reach Up Back rotation Stretch,Easy,None,Low,Back,None,5 minutes,1 minute,Stretch,10,None,Low
Shoulders,Standing Reach Up Back rotation Stretch,Easy,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Back / Wing,Shoulder Stretch Behind The Back,Easy,None,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,None,Low
Chest,Shoulder Stretch Behind The Back,Easy,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Shoulder Stretch Behind The Back,Easy,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Triceps,Shoulder Stretch Behind The Back,Easy,,Low,Back,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Incline Dumbbell Side Lateral Raise,Medium,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,80,Increase weight,Low
Triceps,Body Ups,Medium,None,Moderate,Triceps,None,8 minutes,2 minutes,Strength,70,Increase reps,Low
Hip,Bench Glute Flutter Kicks,Easy,None,Low,Hips,Glutes,8 minutes,1 minute,Strength,60,Increase duration,Low
Shoulders,Dumbbell Side Lying Rear Delt Raise,Medium,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Hip,Dumbbell Lateral Step Up,Medium,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Dumbbell Lateral Step Up,Medium,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Smith Machine Bent Over Row,Medium,Smith Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Back / Wing,Incline Reverse Grip Dumbbell Row,Medium,Dumbbell,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Cardio,Lateral Step-up,Easy,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Leg,Lateral Step-up,Easy,,Low,Cardio,,10 minutes,2 minutes,Aerobic,80,,Low
Cardio,Step Up + Opposite Elbow to Knee Twist,Easy,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,90,None,Low
Leg,Step Up + Opposite Elbow to Knee Twist,Easy,,Low,Cardio,,10 minutes,2 minutes,Aerobic,90,,Low
Cardio,Band Assisted Sprinter Run,Medium,Resistance Band,Moderate,Cardio,None,10 minutes,2 minutes,Aerobic,100,None,Moderate
Hip,Barbell Step-Up,Medium,Barbell,Moderate,Hips,Glutes,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Leg,Barbell Step-Up,Medium,Barbell,Moderate,Hips,Glutes,12 minutes,3 minutes,Strength,120,Increase weight,Moderate
Full Body,Power Clean,Hard,Barbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Back / Wing,Barbell Pullover,Medium,Barbell,Moderate,Back,Chest,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Back / Wing,Cable Pullover,Medium,Cable Machine,Moderate,Back,Chest,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Back / Wing,Weighted Pull-up,Hard,Weight Plate,High,Back,Biceps,10 minutes,3 minutes,Strength,150,Increase weight,High
Back / Wing,Reverse grip Pull-up,Medium,None,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,120,Increase reps,Moderate
Back / Wing,Close Grip Chin Up,Medium,None,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,110,Increase reps,Moderate
Calisthenic,Close Grip Chin Up,Medium,,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,110,Increase reps,Moderate
Back / Wing,Assisted Pull-up,Easy,Assisted Machine,Low,Back,Biceps,10 minutes,2 minutes,Strength,90,None,Low
Shoulders,Lying Cable Reverse Fly,,,,,,,,,,,
Erector Spinae,Floor Hyperextension,,,,,,,,,,,
Neck,Floor Hyperextension,,,,,,,,,,,
Erector Spinae,Flat Bench Hyperextension,,,,,,,,,,,
Hip,Lying Glute Stretch,,,,,,,,,,,
Leg,Lying Glute Stretch,,,,,,,,,,,
Chest,Decline Chest Press Machine,,,,,,,,,,,
Chest,Lying Chest Press Machine,,,,,,,,,,,
Chest,Wall Push-up,,,,,,,,,,,
Triceps,Wall Push-up,,,,,,,,,,,
Triceps,Cable Lying Triceps Extensions,,,,,,,,,,,
Shoulders,Single Arm Circles,,,,,,,,,,,
Leg,Lying Dumbbell Leg Curl,,,,,,,,,,,
Calf,Standing Barbell Calf Raise,,,,,,,,,,,
Back / Wing,Table Inverted Row,,,,,,,,,,,
Triceps,Chair Dips,,,,,,,,,,,
Erector Spinae,Reverse Hyperextension Machine,,,,,,,,,,,
Hip,Reverse Hyperextension Machine,,,,,,,,,,,
Abs,Stability Ball Knee Tuck,,,,,,,,,,,
Chest,Smith Machine Hex Press,,,,,,,,,,,
Chest,Close-grip Incline Dumbbell Press,,,,,,,,,,,
Abs,Hanging Knee Raises,Medium,None,Moderate,Core,Lower Abs,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Hanging Knee Raises,Medium,,Moderate,Core,Lower Abs,8 minutes,2 minutes,Strength,80,Increase reps,Low
Abs,Hanging Side Knee Raises,Medium,None,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase reps,Low
Calisthenic,Hanging Side Knee Raises,Medium,,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase reps,Low
Trapezius,Smith Machine Shrug,Medium,Smith Machine,Moderate,Trapezius,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Abs,Hanging Windshield Wiper,Hard,None,High,Core,Obliques,10 minutes,3 minutes,Strength,100,Increase reps,High
Calisthenic,Hanging Windshield Wiper,Hard,,High,Core,Obliques,10 minutes,3 minutes,Strength,100,Increase reps,High
Abs,Toes to Bar,Hard,None,High,Core,Lower Abs,10 minutes,3 minutes,Strength,120,Increase reps,High
Calisthenic,Toes to Bar,Hard,,High,Core,Lower Abs,10 minutes,3 minutes,Strength,120,Increase reps,High
Abs,Weighted Hanging Knee Raises,Hard,Weight Plate,High,Core,Lower Abs,10 minutes,3 minutes,Strength,130,Increase weight,High
Chest,Kneeling Push-up,Easy,None,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Biceps,Lying Cable Curl,Medium,Cable Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Biceps,Zottman Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Dumbbell Reverse Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Forearm,Dumbbell Reverse Curl,Medium,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,85,Increase weight,Low
Biceps,Seated Close-Grip Concentration Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Biceps Leg Concentration Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Biceps,Prone Incline Barbell Curl,Medium,Barbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Overhead Cable Curl,Medium,Cable Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Biceps,Seated Hammer Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Forearm,Seated Hammer Curl,Medium,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Seated Biceps Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,Seated One-Arm Dumbbell Triceps Extension,Medium,Dumbbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Triceps,Seated Dumbbell Triceps Extension,Medium,Dumbbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Cable One Arm Lat Pulldown,Medium,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Chest,Decline Cable Fly,Medium,Cable Machine,Moderate,Chest,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Biceps,Single Arm Cable Preacher Curl,Medium,Cable Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Chest,Smith Machine Bench Press,Medium,Smith Machine,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Biceps,Cable Concentration Curl,Medium,Cable Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Chest,Smith Machine Incline Bench Press,Medium,Smith Machine,Moderate,Chest,Shoulders,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Back / Wing,Reverse Grip Machine Row,Medium,Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Biceps,Reverse Grip EZ-Bar Curl,Medium,EZ-Bar,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Forearm,Reverse Grip EZ-Bar Curl,Medium,EZ-Bar,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Biceps,Dumbbell Scott Hammer Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Forearm,Dumbbell Scott Hammer Curl,Medium,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,Lever Triceps Extension,Medium,Lever Machine,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Triceps,Bench Dips on Floor,Easy,None,Low,Triceps,None,8 minutes,1 minute,Strength,70,Increase reps,Low
Abs,Teaser Pilates,Medium,None,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase duration,Low
Abs,Seated Oblique Twist,Medium,None,Moderate,Core,Obliques,8 minutes,2 minutes,Strength,80,Increase reps,Low
Full Body,Turkish Get-up,,,,,,,,,,,
Calisthenic,Parallel Bar Dips,,,,,,,,,,,
Chest,Parallel Bar Dips,,,,,,,,,,,
Triceps,Parallel Bar Dips,,,,,,,,,,,
Hip,Bodyweight Hip Thrust,,,,,,,,,,,
Back / Wing,Close Grip Cable Row,,,,,,,,,,,
Back / Wing,Rope Straight Arm Pulldown,,,,,,,,,,,
Abs,Side Bridge,,,,,,,,,,,
Back / Wing,V-bar Lat Pulldown,,,,,,,,,,,
Back / Wing,One-Arm Barbell Row,,,,,,,,,,,
Abs,Plank With Arm And Leg Lift,,,,,,,,,,,
Hip,Plank With Arm And Leg Lift,,,,,,,,,,,
Leg,Plank With Arm And Leg Lift,,,,,,,,,,,
Back / Wing,T-Bar Row,,,,,,,,,,,
Erector Spinae,T-Bar Row,,,,,,,,,,,
Abs,Weighted Front Plank,,,,,,,,,,,
Leg,Weighted Front Plank,,,,,,,,,,,
Cardio,Backward Running,,,,,,,,,,,
Shoulders,Dumbbell Lateral to Front Raise,,,,,,,,,,,
Not specified,Resistance Band Bicycle Crunch,,,,,,,,,,,
Back / Wing,Incline Cable Row,,,,,,,,,,,
Shoulders,One-Arm Bent Over Cable Lateral Raise,,,,,,,,,,,
Back / Wing,Cable Bent Over Row,,,,,,,,,,,
Back / Wing,Standing Side Bend Stretch,,,,,,,,,,,
Calisthenic,Handstand Push-Up,,,,,,,,,,,
Shoulders,Handstand Push-Up,,,,,,,,,,,
Shoulders,EZ Bar Underhand Press,,,,,,,,,,,
Back / Wing,Back and Pec Stretch,,,,,,,,,,,
Chest,Back and Pec Stretch,,,,,,,,,,,
Biceps,Lying High Bench Barbell Curl,,,,,,,,,,,
Hip,Single Leg Bridge,,,,,,,,,,,
Calf,Weighted Donkey Calf Raise,,,,,,,,,,,
Back / Wing,Double Cable Neutral Grip Lat Pulldown On Floor,,,,,,,,,,,
Abs,Cable Side Bend,,,,,,,,,,,
Shoulders,Dumbbell Lying External Shoulder Rotation,,,,,,,,,,,
Chest,Lever Incline Hammer Chest Press,,,,,,,,,,,
Chest,Lever Crossovers,Medium,Lever Machine,Moderate,Chest,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Shoulders,Incline Dumbbell Reverse Fly,Medium,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Trapezius,Incline Dumbbell Reverse Fly,Medium,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Shoulders,Incline Dumbbell Y-Raise,Medium,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,80,Increase weight,Low
Trapezius,Incline Dumbbell Y-Raise,Medium,Dumbbell,Moderate,Shoulders,,10 minutes,2 minutes,Strength,80,Increase weight,Low
Shoulders,Dumbbell Incline T-Raise,Medium,Dumbbell,Moderate,Shoulders,None,10 minutes,2 minutes,Strength,80,Increase weight,Low
Trapezius,Dumbbell Incline T-Raise,Medium,Dumbbell,Moderate,Shoulders,,10 minutes,2 minutes,Strength,80,Increase weight,Low
Triceps,Dumbbell Skull Crusher,Medium,Dumbbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,Dumbbell Incline Two-Arm Extension,Medium,Dumbbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,One-Arm Pronated Dumbbell Triceps Extension,Medium,Dumbbell,Moderate,Triceps,None,10 minutes,2 minutes,Strength,85,Increase weight,Low
Biceps,Cable Rope Hammer Curl,Medium,Cable Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Triceps,Seated EZ-Bar Overhead Triceps Extension,Medium,EZ-Bar,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Back / Wing,Incline Barbell Row,Medium,Barbell,Moderate,Back,None,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Erector Spinae,Smith Machine Good Morning,Medium,Smith Machine,Moderate,Lower Back,None,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Hip,Smith Machine Good Morning,Medium,Smith Machine,Moderate,Lower Back,,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Leg,Smith Machine Good Morning,Medium,Smith Machine,Moderate,Lower Back,,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Chest,Reverse Grip Dumbbell Bench Press,Medium,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Erector Spinae,Cable Pull Through,Medium,Cable Machine,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Hip,Cable Pull Through,Medium,Cable Machine,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Shoulders,Bench Supported Dumbbell External Rotation,Medium,Dumbbell,Moderate,Shoulders,Rotator Cuff,10 minutes,2 minutes,Strength,85,Increase weight,Low
Back / Wing,Kneeling Single Arm High Pulley Row,Medium,Cable Machine,Moderate,Back,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Abs,Barbell Side Bend,Medium,Barbell,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Abs,Seated Barbell Twist,Medium,Barbell,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Abs,Bent Over Twist,Medium,Barbell,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Dumbbell Seated Bent Over Rear Delt Row,Medium,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Triceps,Cable Incline Triceps Extension,Medium,Cable Machine,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Chest,Lever Chest Press,Medium,Lever Machine,Moderate,Chest,None,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Chest,Incline Push-up,Easy,None,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Chest,Svend Press,Medium,Weight Plate,Moderate,Chest,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Abs,Dumbbell V-up,Medium,Dumbbell,Moderate,Core,Lower Abs,10 minutes,2 minutes,Strength,90,Increase weight,Low
Calisthenic,Reverse Push-up,Easy,None,Low,Upper Body,None,8 minutes,1 minute,Strength,70,Increase reps,Low
Chest,Reverse Push-up,Easy,,Low,Upper Body,,8 minutes,1 minute,Strength,70,Increase reps,Low
Triceps,Reverse Push-up,Easy,,Low,Upper Body,,8 minutes,1 minute,Strength,70,Increase reps,Low
Shoulders,Dumbbell Standing Palms In Press,Medium,Dumbbell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Cardio,Side Shuttle,Easy,None,Low,Cardio,None,10 minutes,2 minutes,Aerobic,80,None,Low
Biceps,Biceps Curl Machine,Medium,Curl Machine,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Biceps,Dumbbell High Curl,Medium,Dumbbell,Moderate,Biceps,None,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Lying Shoulder Press,Medium,Dumbbell,Moderate,Shoulders,Triceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Triceps,Cable Side Triceps Extension,Medium,Cable Machine,Moderate,Triceps,None,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Shoulders,Dumbbell Rear Delt Row,Medium,Dumbbell,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase weight,Low
Abs,Lever Lying Crunch,Medium,Lever Machine,Moderate,Core,None,8 minutes,2 minutes,Strength,80,Increase resistance,Low
